# These are derived potentials within the Sun from the BP2000 solar
# model. These are calculated by Joakim Edsjo, edsjo@physto.se
# Date: 2003-11-26
#
#R/R_sun        Phi
 0.22360000E-01 -.95119087E+12
 0.22710000E-01 -.95103816E+12
 0.23070000E-01 -.95086941E+12
 0.23430000E-01 -.95070542E+12
 0.23800000E-01 -.95053414E+12
 0.24170000E-01 -.95035594E+12
 0.24550000E-01 -.95017369E+12
 0.24940000E-01 -.94997654E+12
 0.25330000E-01 -.94977696E+12
 0.25730000E-01 -.94955919E+12
 0.26140000E-01 -.94933773E+12
 0.26550000E-01 -.94912858E+12
 0.26970000E-01 -.94890257E+12
 0.27400000E-01 -.94867346E+12
 0.27830000E-01 -.94843051E+12
 0.28270000E-01 -.94818331E+12
 0.28720000E-01 -.94792222E+12
 0.29180000E-01 -.94765596E+12
 0.29640000E-01 -.94738893E+12
 0.30110000E-01 -.94710919E+12
 0.30590000E-01 -.94681595E+12
 0.31080000E-01 -.94651586E+12
 0.31570000E-01 -.94622732E+12
 0.32080000E-01 -.94590288E+12
 0.32590000E-01 -.94557610E+12
 0.33110000E-01 -.94523778E+12
 0.33640000E-01 -.94488155E+12
 0.34180000E-01 -.94452029E+12
 0.34730000E-01 -.94414817E+12
 0.35280000E-01 -.94377567E+12
 0.35850000E-01 -.94337788E+12
 0.36430000E-01 -.94296267E+12
 0.37010000E-01 -.94254968E+12
 0.37610000E-01 -.94211090E+12
 0.38210000E-01 -.94167766E+12
 0.38830000E-01 -.94121169E+12
 0.39460000E-01 -.94073323E+12
 0.40100000E-01 -.94023796E+12
 0.40750000E-01 -.93972750E+12
 0.41410000E-01 -.93921973E+12
 0.42090000E-01 -.93866841E+12
 0.42770000E-01 -.93811346E+12
 0.43470000E-01 -.93754434E+12
 0.44180000E-01 -.93695431E+12
 0.44900000E-01 -.93634094E+12
 0.45640000E-01 -.93570005E+12
 0.46390000E-01 -.93505164E+12
 0.47150000E-01 -.93438543E+12
 0.47930000E-01 -.93368760E+12
 0.48720000E-01 -.93297115E+12
 0.49520000E-01 -.93223595E+12
 0.50340000E-01 -.93148346E+12
 0.51180000E-01 -.93069096E+12
 0.52030000E-01 -.92987417E+12
 0.52900000E-01 -.92904105E+12
 0.53780000E-01 -.92818642E+12
 0.54680000E-01 -.92729686E+12
 0.55570000E-01 -.92640022E+12
 0.56450000E-01 -.92550177E+12
 0.57310000E-01 -.92461303E+12
 0.58150000E-01 -.92374803E+12
 0.58980000E-01 -.92287691E+12
 0.59800000E-01 -.92199896E+12
 0.60610000E-01 -.92112696E+12
 0.61410000E-01 -.92025947E+12
 0.62190000E-01 -.91941630E+12
 0.62970000E-01 -.91856246E+12
 0.63740000E-01 -.91770454E+12
 0.64500000E-01 -.91684975E+12
 0.65250000E-01 -.91600404E+12
 0.65990000E-01 -.91516072E+12
 0.66730000E-01 -.91431010E+12
 0.67460000E-01 -.91346368E+12
 0.68180000E-01 -.91262344E+12
 0.68900000E-01 -.91178359E+12
 0.69610000E-01 -.91095013E+12
 0.70320000E-01 -.91009095E+12
 0.71020000E-01 -.90925751E+12
 0.71710000E-01 -.90842489E+12
 0.72410000E-01 -.90758011E+12
 0.73090000E-01 -.90675135E+12
 0.73770000E-01 -.90591658E+12
 0.74450000E-01 -.90507513E+12
 0.75130000E-01 -.90422889E+12
 0.75800000E-01 -.90339135E+12
 0.76470000E-01 -.90254361E+12
 0.77130000E-01 -.90171991E+12
 0.77790000E-01 -.90088419E+12
 0.78450000E-01 -.90004414E+12
 0.79110000E-01 -.89919529E+12
 0.79760000E-01 -.89835184E+12
 0.80410000E-01 -.89750733E+12
 0.81060000E-01 -.89666086E+12
 0.81710000E-01 -.89581283E+12
 0.82350000E-01 -.89498140E+12
 0.82990000E-01 -.89413767E+12
 0.83630000E-01 -.89329263E+12
 0.84270000E-01 -.89244566E+12
 0.84910000E-01 -.89158589E+12
 0.85550000E-01 -.89072320E+12
 0.86180000E-01 -.88987847E+12
 0.86820000E-01 -.88901259E+12
 0.87450000E-01 -.88816210E+12
 0.88080000E-01 -.88730122E+12
 0.88720000E-01 -.88641751E+12
 0.89350000E-01 -.88556172E+12
 0.89980000E-01 -.88469516E+12
 0.90610000E-01 -.88381836E+12
 0.91240000E-01 -.88294060E+12
 0.91860000E-01 -.88208246E+12
 0.92490000E-01 -.88120446E+12
 0.93120000E-01 -.88032041E+12
 0.93750000E-01 -.87943814E+12
 0.94380000E-01 -.87854944E+12
 0.95010000E-01 -.87765730E+12
 0.95640000E-01 -.87676181E+12
 0.96270000E-01 -.87586249E+12
 0.96900000E-01 -.87496581E+12
 0.97530000E-01 -.87406391E+12
 0.98160000E-01 -.87315647E+12
 0.98790000E-01 -.87224742E+12
 0.99430000E-01 -.87131869E+12
 0.10006000E+00 -.87040576E+12
 0.10070000E+00 -.86947627E+12
 0.10133000E+00 -.86855840E+12
 0.10197000E+00 -.86761902E+12
 0.10261000E+00 -.86667981E+12
 0.10325000E+00 -.86574335E+12
 0.10389000E+00 -.86480328E+12
 0.10453000E+00 -.86385872E+12
 0.10518000E+00 -.86289139E+12
 0.10582000E+00 -.86193901E+12
 0.10647000E+00 -.86096596E+12
 0.10712000E+00 -.85999744E+12
 0.10777000E+00 -.85903027E+12
 0.10843000E+00 -.85804122E+12
 0.10909000E+00 -.85704361E+12
 0.10975000E+00 -.85605014E+12
 0.11041000E+00 -.85505754E+12
 0.11107000E+00 -.85406003E+12
 0.11174000E+00 -.85304400E+12
 0.11241000E+00 -.85202225E+12
 0.11308000E+00 -.85100050E+12
 0.11376000E+00 -.84996441E+12
 0.11444000E+00 -.84892267E+12
 0.11512000E+00 -.84788400E+12
 0.11580000E+00 -.84684559E+12
 0.11649000E+00 -.84578418E+12
 0.11719000E+00 -.84469884E+12
 0.11788000E+00 -.84363409E+12
 0.11858000E+00 -.84255602E+12
 0.11929000E+00 -.84145472E+12
 0.12000000E+00 -.84035002E+12
 0.12071000E+00 -.83924192E+12
 0.12143000E+00 -.83811881E+12
 0.12215000E+00 -.83699417E+12
 0.12288000E+00 -.83585117E+12
 0.12361000E+00 -.83471139E+12
 0.12435000E+00 -.83355118E+12
 0.12509000E+00 -.83238688E+12
 0.12584000E+00 -.83120343E+12
 0.12660000E+00 -.83000232E+12
 0.12736000E+00 -.82880214E+12
 0.12813000E+00 -.82758438E+12
 0.12890000E+00 -.82637052E+12
 0.12968000E+00 -.82513644E+12
 0.13047000E+00 -.82387713E+12
 0.13126000E+00 -.82257596E+12
 0.13206000E+00 -.82129851E+12
 0.13287000E+00 -.82000667E+12
 0.13369000E+00 -.81869809E+12
 0.13452000E+00 -.81737064E+12
 0.13535000E+00 -.81604165E+12
 0.13619000E+00 -.81469490E+12
 0.13705000E+00 -.81331080E+12
 0.13791000E+00 -.81192980E+12
 0.13878000E+00 -.81053287E+12
 0.13966000E+00 -.80911793E+12
 0.14056000E+00 -.80766450E+12
 0.14146000E+00 -.80621160E+12
 0.14238000E+00 -.80472255E+12
 0.14330000E+00 -.80323916E+12
 0.14424000E+00 -.80171909E+12
 0.14520000E+00 -.80016283E+12
 0.14616000E+00 -.79860911E+12
 0.14714000E+00 -.79701746E+12
 0.14814000E+00 -.79539057E+12
 0.14915000E+00 -.79374986E+12
 0.15018000E+00 -.79207233E+12
 0.15122000E+00 -.79037887E+12
 0.15228000E+00 -.78865224E+12
 0.15336000E+00 -.78689106E+12
 0.15446000E+00 -.78509396E+12
 0.15558000E+00 -.78326327E+12
 0.15671000E+00 -.78142028E+12
 0.15788000E+00 -.77950603E+12
 0.15906000E+00 -.77758286E+12
 0.16027000E+00 -.77560473E+12
 0.16151000E+00 -.77357817E+12
 0.16278000E+00 -.77150554E+12
 0.16407000E+00 -.76939536E+12
 0.16540000E+00 -.76721701E+12
 0.16676000E+00 -.76499053E+12
 0.16816000E+00 -.76269836E+12
 0.16959000E+00 -.76035965E+12
 0.17107000E+00 -.75793882E+12
 0.17260000E+00 -.75543637E+12
 0.17417000E+00 -.75286946E+12
 0.17580000E+00 -.75020743E+12
 0.17748000E+00 -.74746741E+12
 0.17922000E+00 -.74462854E+12
 0.18104000E+00 -.74166318E+12
 0.18289000E+00 -.73865085E+12
 0.18474000E+00 -.73564703E+12
 0.18659000E+00 -.73264104E+12
 0.18842000E+00 -.72967465E+12
 0.19025000E+00 -.72670766E+12
 0.19207000E+00 -.72376634E+12
 0.19388000E+00 -.72084495E+12
 0.19569000E+00 -.71792532E+12
 0.19749000E+00 -.71503239E+12
 0.19928000E+00 -.71216073E+12
 0.20107000E+00 -.70929192E+12
 0.20285000E+00 -.70644296E+12
 0.20463000E+00 -.70360537E+12
 0.20640000E+00 -.70078921E+12
 0.20817000E+00 -.69797705E+12
 0.20993000E+00 -.69518791E+12
 0.21168000E+00 -.69242505E+12
 0.21343000E+00 -.68966396E+12
 0.21517000E+00 -.68692966E+12
 0.21691000E+00 -.68420096E+12
 0.21865000E+00 -.68148116E+12
 0.22038000E+00 -.67878168E+12
 0.22211000E+00 -.67609396E+12
 0.22383000E+00 -.67342487E+12
 0.22555000E+00 -.67076674E+12
 0.22726000E+00 -.66813171E+12
 0.22897000E+00 -.66550400E+12
 0.23068000E+00 -.66288287E+12
 0.23238000E+00 -.66028951E+12
 0.23408000E+00 -.65770086E+12
 0.23577000E+00 -.65513945E+12
 0.23746000E+00 -.65258454E+12
 0.23915000E+00 -.65003861E+12
 0.24084000E+00 -.64750053E+12
 0.24252000E+00 -.64498812E+12
 0.24420000E+00 -.64248330E+12
 0.24588000E+00 -.63998693E+12
 0.24755000E+00 -.63751624E+12
 0.24922000E+00 -.63505288E+12
 0.25089000E+00 -.63259802E+12
 0.25256000E+00 -.63015233E+12
 0.25422000E+00 -.62773181E+12
 0.25588000E+00 -.62532021E+12
 0.25754000E+00 -.62291789E+12
 0.25920000E+00 -.62052572E+12
 0.26085000E+00 -.61668041E+12
 0.26251000E+00 -.61435450E+12
 0.26416000E+00 -.61205444E+12
 0.26581000E+00 -.60976222E+12
 0.26745000E+00 -.60749625E+12
 0.26910000E+00 -.60521779E+12
 0.27074000E+00 -.60296646E+12
 0.27239000E+00 -.60185154E+12
 0.27403000E+00 -.59957418E+12
 0.27567000E+00 -.59730507E+12
 0.27731000E+00 -.59504562E+12
 0.27895000E+00 -.59279539E+12
 0.28058000E+00 -.59057025E+12
 0.28222000E+00 -.58833954E+12
 0.28385000E+00 -.58613212E+12
 0.28549000E+00 -.58392000E+12
 0.28712000E+00 -.58173303E+12
 0.28875000E+00 -.57955629E+12
 0.29038000E+00 -.57738874E+12
 0.29201000E+00 -.57523037E+12
 0.29364000E+00 -.57308273E+12
 0.29527000E+00 -.57094353E+12
 0.29690000E+00 -.56881615E+12
 0.29853000E+00 -.56669707E+12
 0.30016000E+00 -.56458776E+12
 0.30179000E+00 -.56248834E+12
 0.30342000E+00 -.56039895E+12
 0.30504000E+00 -.55833318E+12
 0.30667000E+00 -.55626398E+12
 0.30830000E+00 -.55420372E+12
 0.30993000E+00 -.55215359E+12
 0.31155000E+00 -.55012698E+12
 0.31318000E+00 -.54804941E+12
 0.31481000E+00 -.54603053E+12
 0.31644000E+00 -.54402173E+12
 0.31807000E+00 -.54202321E+12
 0.31969000E+00 -.54004732E+12
 0.32132000E+00 -.53806783E+12
 0.32295000E+00 -.53609924E+12
 0.32458000E+00 -.53413950E+12
 0.32621000E+00 -.53218946E+12
 0.32784000E+00 -.53024954E+12
 0.32948000E+00 -.52830616E+12
 0.33111000E+00 -.52638547E+12
 0.33274000E+00 -.52447554E+12
 0.33437000E+00 -.52257447E+12
 0.33601000E+00 -.52067045E+12
 0.33764000E+00 -.51878807E+12
 0.33928000E+00 -.51690382E+12
 0.34091000E+00 -.51504178E+12
 0.34255000E+00 -.51317676E+12
 0.34419000E+00 -.51132144E+12
 0.34583000E+00 -.50947605E+12
 0.34747000E+00 -.50764038E+12
 0.34911000E+00 -.50581412E+12
 0.35075000E+00 -.50399716E+12
 0.35240000E+00 -.50217823E+12
 0.35404000E+00 -.50038068E+12
 0.35569000E+00 -.49858112E+12
 0.35733000E+00 -.49680240E+12
 0.35898000E+00 -.49502168E+12
 0.36063000E+00 -.49325042E+12
 0.36228000E+00 -.49148902E+12
 0.36393000E+00 -.48973727E+12
 0.36559000E+00 -.48798367E+12
 0.36724000E+00 -.48625031E+12
 0.36890000E+00 -.48451528E+12
 0.37055000E+00 -.48280093E+12
 0.37221000E+00 -.48108499E+12
 0.37387000E+00 -.47937788E+12
 0.37554000E+00 -.47766980E+12
 0.37720000E+00 -.47598167E+12
 0.37887000E+00 -.47429219E+12
 0.38053000E+00 -.47262256E+12
 0.38220000E+00 -.47095107E+12
 0.38387000E+00 -.46928884E+12
 0.38554000E+00 -.46763592E+12
 0.38722000E+00 -.46598212E+12
 0.38889000E+00 -.46434797E+12
 0.39057000E+00 -.46271249E+12
 0.39225000E+00 -.46108591E+12
 0.39393000E+00 -.45946838E+12
 0.39561000E+00 -.45785996E+12
 0.39730000E+00 -.45625072E+12
 0.39898000E+00 -.45466039E+12
 0.40067000E+00 -.45306879E+12
 0.40236000E+00 -.45148618E+12
 0.40405000E+00 -.44991257E+12
 0.40575000E+00 -.44833799E+12
 0.40744000E+00 -.44678205E+12
 0.40914000E+00 -.44522562E+12
 0.41084000E+00 -.44367774E+12
 0.41254000E+00 -.44213809E+12
 0.41425000E+00 -.44059835E+12
 0.41595000E+00 -.43907652E+12
 0.41766000E+00 -.43755403E+12
 0.41937000E+00 -.43604025E+12
 0.42109000E+00 -.43452617E+12
 0.42280000E+00 -.43302928E+12
 0.42452000E+00 -.43153211E+12
 0.42624000E+00 -.43004358E+12
 0.42796000E+00 -.42856357E+12
 0.42968000E+00 -.42709208E+12
 0.43141000E+00 -.42562001E+12
 0.43314000E+00 -.42415677E+12
 0.43487000E+00 -.42270164E+12
 0.43660000E+00 -.42125466E+12
 0.43834000E+00 -.41980755E+12
 0.44008000E+00 -.41836907E+12
 0.44182000E+00 -.41693861E+12
 0.44356000E+00 -.41551632E+12
 0.44530000E+00 -.41410203E+12
 0.44705000E+00 -.41268766E+12
 0.44880000E+00 -.41128155E+12
 0.45055000E+00 -.40988383E+12
 0.45231000E+00 -.40848558E+12
 0.45406000E+00 -.40710372E+12
 0.45582000E+00 -.40572167E+12
 0.45758000E+00 -.40434762E+12
 0.45935000E+00 -.40297368E+12
 0.46112000E+00 -.40160781E+12
 0.46289000E+00 -.40024985E+12
 0.46466000E+00 -.39889953E+12
 0.46643000E+00 -.39755705E+12
 0.46821000E+00 -.39621479E+12
 0.46999000E+00 -.39488019E+12
 0.47177000E+00 -.39355325E+12
 0.47355000E+00 -.39223407E+12
 0.47534000E+00 -.39091528E+12
 0.47713000E+00 -.38960389E+12
 0.47892000E+00 -.38830012E+12
 0.48072000E+00 -.38699669E+12
 0.48251000E+00 -.38570804E+12
 0.48431000E+00 -.38441962E+12
 0.48612000E+00 -.38313145E+12
 0.48792000E+00 -.38185789E+12
 0.48973000E+00 -.38058472E+12
 0.49154000E+00 -.37931901E+12
 0.49335000E+00 -.37806058E+12
 0.49517000E+00 -.37680245E+12
 0.49699000E+00 -.37555152E+12
 0.49881000E+00 -.37430805E+12
 0.50063000E+00 -.37307179E+12
 0.50246000E+00 -.37183587E+12
 0.50428000E+00 -.37061395E+12
 0.50611000E+00 -.36939214E+12
 0.50795000E+00 -.36817094E+12
 0.50978000E+00 -.36696352E+12
 0.51162000E+00 -.36575642E+12
 0.51346000E+00 -.36455637E+12
 0.51531000E+00 -.36335681E+12
 0.51716000E+00 -.36216406E+12
 0.51900000E+00 -.36098498E+12
 0.52086000E+00 -.35979973E+12
 0.52271000E+00 -.35862775E+12
 0.52457000E+00 -.35745627E+12
 0.52643000E+00 -.35629165E+12
 0.52829000E+00 -.35513368E+12
 0.53015000E+00 -.35398258E+12
 0.53202000E+00 -.35283183E+12
 0.53389000E+00 -.35168775E+12
 0.53576000E+00 -.35055041E+12
 0.53764000E+00 -.34941351E+12
 0.53952000E+00 -.34828318E+12
 0.54139000E+00 -.34716556E+12
 0.54328000E+00 -.34604232E+12
 0.54516000E+00 -.34493158E+12
 0.54705000E+00 -.34382137E+12
 0.54894000E+00 -.34271760E+12
 0.55083000E+00 -.34162030E+12
 0.55273000E+00 -.34052351E+12
 0.55462000E+00 -.33943876E+12
 0.55652000E+00 -.33835462E+12
 0.55842000E+00 -.33727666E+12
 0.56033000E+00 -.33619927E+12
 0.56223000E+00 -.33513380E+12
 0.56414000E+00 -.33406886E+12
 0.56605000E+00 -.33301006E+12
 0.56797000E+00 -.33195178E+12
 0.56988000E+00 -.33090518E+12
 0.57180000E+00 -.32985903E+12
 0.57372000E+00 -.32881893E+12
 0.57564000E+00 -.32778486E+12
 0.57757000E+00 -.32675125E+12
 0.57949000E+00 -.32572903E+12
 0.58142000E+00 -.32470725E+12
 0.58335000E+00 -.32369133E+12
 0.58528000E+00 -.32268124E+12
 0.58722000E+00 -.32167170E+12
 0.58915000E+00 -.32067318E+12
 0.59109000E+00 -.31967514E+12
 0.59303000E+00 -.31868278E+12
 0.59497000E+00 -.31769603E+12
 0.59692000E+00 -.31670980E+12
 0.59886000E+00 -.31573427E+12
 0.60081000E+00 -.31475923E+12
 0.60276000E+00 -.31378973E+12
 0.60471000E+00 -.31282575E+12
 0.60666000E+00 -.31186719E+12
 0.60861000E+00 -.31091404E+12
 0.61057000E+00 -.30996137E+12
 0.61252000E+00 -.30901895E+12
 0.61448000E+00 -.30807703E+12
 0.61644000E+00 -.30714039E+12
 0.61840000E+00 -.30620902E+12
 0.62036000E+00 -.30528291E+12
 0.62232000E+00 -.30436191E+12
 0.62428000E+00 -.30344608E+12
 0.62625000E+00 -.30253071E+12
 0.62821000E+00 -.30162508E+12
 0.63018000E+00 -.30071988E+12
 0.63214000E+00 -.29982427E+12
 0.63411000E+00 -.29892907E+12
 0.63608000E+00 -.29803888E+12
 0.63805000E+00 -.29715356E+12
 0.64001000E+00 -.29627762E+12
 0.64198000E+00 -.29540203E+12
 0.64395000E+00 -.29453616E+12
 0.64592000E+00 -.29367012E+12
 0.64789000E+00 -.29280881E+12
 0.64986000E+00 -.29195220E+12
 0.65183000E+00 -.29110030E+12
 0.65380000E+00 -.29025304E+12
 0.65577000E+00 -.28941037E+12
 0.65774000E+00 -.28857228E+12
 0.65971000E+00 -.28773871E+12
 0.66168000E+00 -.28690966E+12
 0.66364000E+00 -.28608928E+12
 0.66561000E+00 -.28526909E+12
 0.66757000E+00 -.28445746E+12
 0.66954000E+00 -.28364605E+12
 0.67150000E+00 -.28284304E+12
 0.67346000E+00 -.28204429E+12
 0.67542000E+00 -.28124977E+12
 0.67738000E+00 -.28045944E+12
 0.67934000E+00 -.27967328E+12
 0.68129000E+00 -.27889524E+12
 0.68325000E+00 -.27811729E+12
 0.68520000E+00 -.27734735E+12
 0.68715000E+00 -.27658141E+12
 0.68909000E+00 -.27582336E+12
 0.69104000E+00 -.27506531E+12
 0.69298000E+00 -.27431506E+12
 0.69464000E+00 -.27367615E+12
 0.69512000E+00 -.27349193E+12
 0.69561000E+00 -.27330409E+12
 0.69609000E+00 -.27312034E+12
 0.69657000E+00 -.27293683E+12
 0.69705000E+00 -.27275355E+12
 0.69754000E+00 -.27256667E+12
 0.69802000E+00 -.27238387E+12
 0.69850000E+00 -.27220128E+12
 0.69898000E+00 -.27201892E+12
 0.69946000E+00 -.27183679E+12
 0.69994000E+00 -.27165490E+12
 0.70042000E+00 -.27147324E+12
 0.70091000E+00 -.27128799E+12
 0.70139000E+00 -.27110679E+12
 0.70187000E+00 -.27092581E+12
 0.70235000E+00 -.27074507E+12
 0.70283000E+00 -.27056455E+12
 0.70330000E+00 -.27038802E+12
 0.70378000E+00 -.27020795E+12
 0.70426000E+00 -.27002811E+12
 0.70474000E+00 -.26984849E+12
 0.70522000E+00 -.26966909E+12
 0.70570000E+00 -.26948992E+12
 0.70617000E+00 -.26931472E+12
 0.70665000E+00 -.26913600E+12
 0.70713000E+00 -.26895749E+12
 0.70760000E+00 -.26878294E+12
 0.70808000E+00 -.26860488E+12
 0.70856000E+00 -.26842705E+12
 0.70903000E+00 -.26825314E+12
 0.70951000E+00 -.26807573E+12
 0.70998000E+00 -.26790225E+12
 0.71046000E+00 -.26772528E+12
 0.71093000E+00 -.26755223E+12
 0.71141000E+00 -.26737570E+12
 0.71188000E+00 -.26720309E+12
 0.71235000E+00 -.26703068E+12
 0.71282000E+00 -.26685849E+12
 0.71330000E+00 -.26668282E+12
 0.71377000E+00 -.26651104E+12
 0.71424000E+00 -.26633947E+12
 0.71471000E+00 -.26616811E+12
 0.71518000E+00 -.26599695E+12
 0.71565000E+00 -.26582601E+12
 0.71612000E+00 -.26565527E+12
 0.71659000E+00 -.26548474E+12
 0.71706000E+00 -.26531441E+12
 0.71753000E+00 -.26514429E+12
 0.71800000E+00 -.26497438E+12
 0.71847000E+00 -.26480467E+12
 0.71893000E+00 -.26463880E+12
 0.71940000E+00 -.26446949E+12
 0.71987000E+00 -.26430039E+12
 0.72033000E+00 -.26413511E+12
 0.72080000E+00 -.26396642E+12
 0.72126000E+00 -.26380152E+12
 0.72172000E+00 -.26363681E+12
 0.72219000E+00 -.26346871E+12
 0.72265000E+00 -.26330440E+12
 0.72311000E+00 -.26314028E+12
 0.72357000E+00 -.26297636E+12
 0.72404000E+00 -.26280907E+12
 0.72450000E+00 -.26264554E+12
 0.72496000E+00 -.26248221E+12
 0.72542000E+00 -.26231905E+12
 0.72588000E+00 -.26215609E+12
 0.72634000E+00 -.26199333E+12
 0.72679000E+00 -.26183430E+12
 0.72725000E+00 -.26167191E+12
 0.72771000E+00 -.26150971E+12
 0.72816000E+00 -.26135123E+12
 0.72862000E+00 -.26118941E+12
 0.72908000E+00 -.26102778E+12
 0.72953000E+00 -.26086986E+12
 0.72999000E+00 -.26070860E+12
 0.73044000E+00 -.26055104E+12
 0.73089000E+00 -.26039367E+12
 0.73270000E+00 -.25976245E+12
 0.73450000E+00 -.25913761E+12
 0.73629000E+00 -.25851905E+12
 0.73808000E+00 -.25790327E+12
 0.73985000E+00 -.25729712E+12
 0.74162000E+00 -.25669367E+12
 0.74338000E+00 -.25609630E+12
 0.74513000E+00 -.25550493E+12
 0.74687000E+00 -.25491951E+12
 0.74860000E+00 -.25433998E+12
 0.75033000E+00 -.25376295E+12
 0.75204000E+00 -.25319504E+12
 0.75375000E+00 -.25262952E+12
 0.75545000E+00 -.25206969E+12
 0.75714000E+00 -.25151551E+12
 0.75882000E+00 -.25096688E+12
 0.76050000E+00 -.25042054E+12
 0.76216000E+00 -.24988292E+12
 0.76382000E+00 -.24934749E+12
 0.76547000E+00 -.24881744E+12
 0.76711000E+00 -.24829274E+12
 0.76874000E+00 -.24777332E+12
 0.77036000E+00 -.24725914E+12
 0.77198000E+00 -.24674699E+12
 0.77358000E+00 -.24624315E+12
 0.77518000E+00 -.24574127E+12
 0.77677000E+00 -.24524444E+12
 0.77835000E+00 -.24475264E+12
 0.77992000E+00 -.24426583E+12
 0.78148000E+00 -.24378394E+12
 0.78304000E+00 -.24330387E+12
 0.78458000E+00 -.24283172E+12
 0.78612000E+00 -.24236132E+12
 0.78765000E+00 -.24189570E+12
 0.78917000E+00 -.24143480E+12
 0.79068000E+00 -.24097861E+12
 0.79219000E+00 -.24052405E+12
 0.79368000E+00 -.24007713E+12
 0.79517000E+00 -.23963179E+12
 0.79665000E+00 -.23919099E+12
 0.79812000E+00 -.23875467E+12
 0.79958000E+00 -.23832283E+12
 0.80103000E+00 -.23789543E+12
 0.80248000E+00 -.23746949E+12
 0.80392000E+00 -.23704794E+12
 0.80535000E+00 -.23663074E+12
 0.80677000E+00 -.23621785E+12
 0.80818000E+00 -.23580923E+12
 0.80958000E+00 -.23540486E+12
 0.81098000E+00 -.23500183E+12
 0.81236000E+00 -.23460584E+12
 0.81374000E+00 -.23421113E+12
 0.81511000E+00 -.23382054E+12
 0.81648000E+00 -.23343120E+12
 0.81783000E+00 -.23304878E+12
 0.81918000E+00 -.23266755E+12
 0.82051000E+00 -.23229316E+12
 0.82184000E+00 -.23191991E+12
 0.82316000E+00 -.23155062E+12
 0.82448000E+00 -.23118245E+12
 0.82578000E+00 -.23082097E+12
 0.82708000E+00 -.23046057E+12
 0.82837000E+00 -.23010403E+12
 0.82965000E+00 -.22975129E+12
 0.83092000E+00 -.22940234E+12
 0.83219000E+00 -.22905441E+12
 0.83345000E+00 -.22871023E+12
 0.83470000E+00 -.22836977E+12
 0.83594000E+00 -.22803300E+12
